FUNCTION00,STREET_N01,Segment_Di,Lanes,Median,Park,Shoulder,Bikelane,PedCrossin,Length,Index,Dir_drive,ADTJan2009-Dec2009,ADTJan2010-Dec2010,ADTJan2011-Dec2011,ADTJan2012-Dec2012,ADTJan2013-Dec2013,ADTJan2014-Dec2014,ADTJan2015-Dec2015,ADTJan2016-Dec2016,ADTJan2017-Dec2017,ADTJan2018-Dec2018,CollisionsJan2009-Dec2009,CollisionsJan2010-Dec2010,CollisionsJan2011-Dec2011,CollisionsJan2012-Dec2012,CollisionsJan2013-Dec2013,CollisionsJan2014-Dec2014,CollisionsJan2015-Dec2015,CollisionsJan2016-Dec2016,CollisionsJan2017-Dec2017,CollisionsJan2018-Dec2018,LnAvgADT,LnLength,SumCollisions,Offset,Offset2,Distance_to_school,Distance_to_senior,Number of DFS,Site_ID,Location_D,Direction,Speed_Limi,Ward,Neighbourh,Neighbou_1,Latitude,Longitude,Interventi,Enforcemen,Site_ID.1,Location_D.1,Direction.1,Speed_Limi.1,Ward.1,Neighbourh.1,Neighbou_1.1,Latitude.1,Longitude.1,Interventi.1,Enforcemen.1,Site_ID.2,Location_D.2,Direction.2,Speed_Limi.2,Ward.2,Neighbourh.2,Neighbou_1.2,Latitude.2,Longitude.2,Interventi.2,Enforcemen.2,avgADT,speed_osm,lanes_osm
Arterial-Class A (Primary Highway Truck Route),97 ST NW,D,3,1,0,0,0,0,477.461,Mid60,SBD,20284.95691,20670.75113,21056.54535,21193.8716,22148,22971.25,23794.5,24813,25343.40602,25708.24896,6.5,10.5,12,9,3.5,7,10,1,3.5,1.5,10.03444796,6.168482481,64.5,2.302585093,8.471067574,521.2223407,561.9340383,0,,,,,,,,53.58695826,-113.4920466,,,,,,,,,,,,,,,,,,,,,,,,,22798.453,60,2
Arterial-Class A (Primary Highway Truck Route),97 ST NW,D,3,1,0,0,0,0,437.933,Mid61,NBD,21818.14356,22233.09705,22648.05054,22795.75625,23822,23747,25498.5,25336,25877.58574,26250.11872,8.5,11.5,6,7,8.5,5.5,8.5,7,4,5,10.08591849,6.082065931,71.5,2.302585093,8.384651024,514.3727237,22.35959062,0,,,,,,,,53.59405689,-113.4919842,,,,,,,,,,,,,,,,,,,,,,,,,24002.62518,60,3
Arterial-Class A (Primary Highway Truck Route),97 ST NW,D,3,1,0,0,0,0,437.933,Mid61,SBD,19819.6888,20196.63421,20573.57962,20707.75607,21640,21213,23431.5,24219,24736.7086,25092.81754,11.5,8.5,3,12,3.5,9.5,4.5,2,7,3,10.0061826,6.082065931,64.5,2.302585093,8.384651024,514.3727237,22.35959062,0,,,,,,,,53.59405689,-113.4919842,,,,,,,,,,,,,,,,,,,,,,,,,22163.06848,60,3
Arterial-Class A (Primary Highway Truck Route),HIGHWAY 14 [EB-S],E,4,1,0,1,0,0,2478.22,Mid97,EBD,9375.567869,9553.87931,9732.190751,9795.662003,10236.6536,10519.73994,10725,10777.61512,11007.99887,11166.4697,0,0,0,0,0,0,0,0,0,0,9.238838196,7.81529584,0,2.302585093,10.11788093,2784.11906,3520.734298,0,,,,,,,,53.44660478,-113.313952,,,,,,,,,,,,,,,,,,,,,,,,,10289.07772,80,2
Arterial-Class A (Primary Highway Truck Route),HIGHWAY 14 [WB-S],W,4,1,0,1,0,0,2486.69,Mid102,WBD,9806.538029,9993.045977,10179.55393,10245.94278,10707.2056,11003.30467,11218,11273.03369,11514.00758,11679.7629,0,0,0,0,0,0,0,0,0,0,9.283780362,7.818707788,0,2.302585093,10.12129288,2809.766566,3491.891552,0,,,,,,,,53.44687475,-113.3140184,,,,,,,,,,,,,,,,,,,,,,,,,10762.03952,100,4
Arterial-Class A (Primary Highway Truck Route),HIGHWAY 814 [NB-S],N,1,0,0,0,0,0,2910.96,Mid116,NBD,8948.094425,9118.275862,9288.457299,9349.034617,9769.919464,10040.09865,10236,9906,10117.75199,10263.40685,0,0,0,0,0,0,0,0,0,0,9.180262939,7.976238203,0,2.302585093,10.2788233,2158.501805,7008.871833,0,,,,,,,,53.37985019,-113.4180317,,,,,,,,,,,,,,,,,,,,,,,,,9703.703916,80,2
Arterial-Class A (Primary Highway Truck Route),HIGHWAY 814 [SB-S],S,1,0,0,0,0,0,2917.54,Mid117,SBD,8976.068148,9146.781609,9317.495071,9378.261767,9800.462393,10071.48622,10268,9501,9704.094653,9843.794519,0,0,0,0,0,0,0,0,0,0,9.16959592,7.978496074,0,2.302585093,10.28108117,2157.633894,7008.871833,0,,,,,,,,53.37985224,-113.4184525,,,,,,,,,,,,,,,,,,,,,,,,,9600.744438,70,1
Arterial-Class A (Primary Highway Truck Route),MANNING DR [NB-S] NW,N,2,1,0,1,0,0,944.099,Mid122,NBD,12790.87508,13034.14134,13277.40761,13364,12750,14597,16511,13478,13766.10754,13964.28403,0,0,0,0,0,0,3,2,3,4,9.529032734,6.850231034,12,2.302585093,9.152816127,1131.163523,1434.953434,0,,,,,,,,53.61046797,-113.4066589,,,,,,,,,,,,,,,,,,,,,,,,,13753.28156,60,2
Arterial-Class A (Primary Highway Truck Route),MANNING DR [NB-S] NW,N,2,1,0,1,0,0,546.575,Mid124,NBD,9309,10558.66667,11808.33333,13058,12126,14425,16577,11753,12004.23371,12177.04631,2,1,0,1,0,0,0,0,0,0,9.423807497,6.303671535,4,2.302585093,8.606256628,1121.876889,2368.437432,0,,,,,,,,53.61664293,-113.4015685,,,,,,,,,,,,,,,,,,,,,,,,,12379.628,70,2
Arterial-Class A (Primary Highway Truck Route),MANNING DR [NB-S] NW,N,2,1,0,1,0,0,737.814,Mid129,NBD,11468.67575,11686.79545,11904.91516,11982.55645,12522,14947,17372,12848,13122.64058,13311.55373,1,0,0,0,0,1,1,0,1,0,9.481634928,6.60369176,4,2.302585093,8.906276853,1246.114442,2923.055045,0,,,,,,,,53.62237947,-113.398682,,,,,,,,,,,,,,,,,,,,,,,,,13116.61371,70,2
Arterial-Class A (Primary Highway Truck Route),MANNING DR [NB-S] NW,N,2,1,0,1,0,0,4164.76,Mid130,NBD,7219.25,8645.5,10071.75,11498,12707,13916,15125,12262,12524.11416,12704.41095,6,8,6,4,2,7,1,3,2,4,9.364545551,8.33441393,43,2.302585093,10.63699902,1607.697092,2925.414168,0,,,,,,,,53.6439035,-113.3903428,,,,,,,,,,,,,,,,,,,,,,,,,11667.30251,70,1
